"Dato";"Region";"Køn";"Bekræftede tilfælde i alt";"Bekræftede tilfælde";"Reinfektioner";"Døde";"Indlæggelser";"Testede personer";"test_totalAG";"Antallet af prøver";"Indlæggelser i dag (psykiatri)";"Ændring i antal bekræftede tilfælde i alt";"Ændring i antal bekræftede tilfælde";"Ændring i antal reinfektioner";"Ændring i antal døde";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Ændring i antallet af PCR prøver";"Ændring i antallet af Antigen prøver";"Ændring i indlæggelser (psykiatri) siden sidste opdatering"
2022-01-31;Hovedstaden;F;367603;345031;22572;865;7709;895190;10264790;11782949;62;3320;3017;303;5;77;126;13079;12693;7
2022-01-31;Hovedstaden;M;343982;324726;19256;999;7305;853142;9391009;9084670;77;2960;2720;240;2;46;144;11249;12072;4
2022-01-31;Midtjylland;F;174051;168192;5859;235;2111;611703;6584023;7054678;15;3060;2928;132;1;17;212;9910;19597;0
2022-01-31;Midtjylland;M;166717;161605;5112;287;2244;598893;6171775;5387138;20;2600;2496;104;0;20;197;8460;18018;0
2022-01-31;Nordjylland;F;71094;68897;2197;126;978;273526;2987583;3320920;3;1939;1866;73;0;10;112;7163;8322;1
2022-01-31;Nordjylland;M;70287;68214;2073;170;1072;272810;2851493;2502430;10;1852;1784;68;0;9;172;6185;8032;0
2022-01-31;Sjælland;F;121898;117158;4740;269;2560;382837;4089044;4758053;11;2520;2374;146;0;18;168;10535;11083;3
2022-01-31;Sjælland;M;115114;111173;3941;350;2706;373255;3799976;3542145;16;2162;2062;100;3;17;198;8875;10301;0
2022-01-31;Syddanmark;F;153847;149230;4617;186;1949;561453;6062679;7164953;15;4479;4311;168;2;27;257;18248;6396;4
2022-01-31;Syddanmark;M;147588;143422;4166;236;2003;552539;5537210;5549612;9;4130;3989;141;4;14;337;15816;6321;3
2022-01-31;NA;F;3603;3489;114;12;133;38333;580075;150925;0;16;15;1;0;0;32;101;7428;0
2022-01-31;NA;M;6784;6630;154;20;273;69920;804265;267950;0;46;44;2;0;0;94;297;7675;0
2022-01-31;NA;;1;1;0;0;0;28;0;40;0;0;0;0;0;0;0;0;0;0
